id	name	desc	url	type
15728	Illuminaria	2022 Switch, PC video game	https://opencritic.com/game/15728/-	Q7889
6205	Illusion: A Tale of the Mind	2018 PS4, XB1, PC, XBXS, PS5 video game	https://opencritic.com/game/6205/-	Q7889
4438	Illusoria	2017 PC video game	https://opencritic.com/game/4438/-	Q7889
16100	illWill	2023 PC video game	https://opencritic.com/game/16100/-	Q7889
11430	Imagine Earth	2021 PC video game	https://opencritic.com/game/11430/-	Q7889
11870	Imagine Lifetimes	2020 PC video game	https://opencritic.com/game/11870/-	Q7889
2082	Immortal Empire	2015 PC video game	https://opencritic.com/game/2082/-	Q7889
7628	Immortal Legacy: The Jade Cipher	2019 PSVR video game	https://opencritic.com/game/7628/-	Q7889
4686	Immortal Planet	2017 PC video game	https://opencritic.com/game/4686/-	Q7889
10063	Immortal Realms: Vampire Wars	2020 PC, Switch, XB1, PS4, XBXS, PS5 video game	https://opencritic.com/game/10063/-	Q7889
4224	Immortal Redneck	2017 PC video game	https://opencritic.com/game/4224/-	Q7889
6551	Immortal: Unchained	2018 PS4, XB1, PC, XBXS, PS5 video game	https://opencritic.com/game/6551/-	Q7889
13590	Immortality	2022 XBXS, PC video game	https://opencritic.com/game/13590/-	Q7889
10257	Immortals Fenyx Rising	2020 PS4, XB1, Switch, Stadia, PC, XBXS, PS5 video game	https://opencritic.com/game/10257/-	Q7889
10602	Immortals Fenyx Rising (Switch)	2020 Switch video game	https://opencritic.com/game/10602/-	Q7889
10855	Immortals Fenyx Rising: A New God	2021 XBXS, PS5, Switch, PC, XB1, PS4, Stadia video game	https://opencritic.com/game/10855/-	Q7889
11254	Immortals Fenyx Rising: The Lost Gods	2021 XBXS, PS5, Switch, PC, Stadia, XB1, PS4 video game	https://opencritic.com/game/11254/-	Q7889
14987	Immortals of Aveum	2023 XBXS, PS5, PC video game	https://opencritic.com/game/14987/-	Q7889
11126	Immortals: Fenyx Rising: Myths of the Eastern Realm	2021 XBXS, PS5, Switch, PC, Stadia, XB1, PS4 video game	https://opencritic.com/game/11126/-	Q7889
8167	IMMURE - Part One	2019 PC video game	https://opencritic.com/game/8167/-	Q7889
9983	Imouto Paradise 3	2020 PC video game	https://opencritic.com/game/9983/-	Q7889
12954	Imp Of The Sun	2022 XBXS, PS5, XB1, PS4, Switch, PC video game	https://opencritic.com/game/12954/-	Q7889
4368	Impact Winter	2017 PC video game	https://opencritic.com/game/4368/-	Q7889
14087	Impaler	2022 PC video game	https://opencritic.com/game/14087/-	Q7889
7627	Imperator: Rome	2019 PC video game	https://opencritic.com/game/7627/-	Q7889
9912	Imperiums: Greek Wars	2020 PC video game	https://opencritic.com/game/9912/-	Q7889
12769	Impious Pumpkins	2021 PC video game	https://opencritic.com/game/12769/-	Q7889
4566	Implosion: Never Lose Hope	2017 Switch video game	https://opencritic.com/game/4566/-	Q7889
12074	Impostor Factory	2021 PC video game	https://opencritic.com/game/12074/-	Q7889
3809	Imprint-X	2017 PC video game	https://opencritic.com/game/3809/-	Q7889
6502	Impulsion	2018 PC video game	https://opencritic.com/game/6502/-	Q7889
2787	In Between	2015 XB1, PC, XBXS video game	https://opencritic.com/game/2787/-	Q7889
10575	In Celebration of Violence	2018 PC, Switch, PS4 video game	https://opencritic.com/game/10575/-	Q7889
11761	In da Hoop!	2021 PC, Quest, Vive video game	https://opencritic.com/game/11761/-	Q7889
7097	In Death	2018 Quest, Vive, PSVR video game	https://opencritic.com/game/7097/-	Q7889
9863	In Death: Unchained	2020 Quest video game	https://opencritic.com/game/9863/-	Q7889
3634	In Extremis	2016 PC video game	https://opencritic.com/game/3634/-	Q7889
11192	In My Shadow	2021 PC video game	https://opencritic.com/game/11192/-	Q7889
12950	In Nightmare	2022 PS5, PS4 video game	https://opencritic.com/game/12950/-	Q7889
9251	In Other Waters	2020 PC, Switch video game	https://opencritic.com/game/9251/-	Q7889
11033	In Rays of the Light	2021 PS5, Switch, PS4, XB1 video game	https://opencritic.com/game/11033/-	Q7889
13921	In Retrospect	2022 PC video game	https://opencritic.com/game/13921/-	Q7889
11612	In Sound Mind	2021 PC video game	https://opencritic.com/game/11612/-	Q7889
2403	In Space We Brawl: Full Arsenal Edition	2016 XB1, XBXS video game	https://opencritic.com/game/2403/-	Q7889
15879	In Stars and Time	2023 PC, PS4, PS5, Switch video game	https://opencritic.com/game/15879/-	Q7889
7555	In the Raven Shadow	2017 PC video game	https://opencritic.com/game/7555/-	Q7889
4208	In Vitra	2017 PC video game	https://opencritic.com/game/4208/-	Q7889
9166	inbento	2020 Switch video game	https://opencritic.com/game/9166/-	Q7889
8576	Incredible Mandy	2018 PC, Switch video game	https://opencritic.com/game/8576/-	Q7889
7915	Indecision.	2018 PC video game	https://opencritic.com/game/7915/-	Q7889
8944	Indie Pogo	2018 PC video game	https://opencritic.com/game/8944/-	Q7889
9591	Indiecalypse	2020 Switch, PC, XB1, XBXS video game	https://opencritic.com/game/9591/-	Q7889
14265	Indies' Lies	2023 PC video game	https://opencritic.com/game/14265/-	Q7889
11680	Indigo 7: Quest For Love	2021 PS5, XBXS, Switch, PC, PS4, XB1 video game	https://opencritic.com/game/11680/-	Q7889
8376	Indivisible	2019 PC, PS4, XB1, XBXS, PS5 video game	https://opencritic.com/game/8376/-	Q7889
13845	Indoorlands	2022 PC video game	https://opencritic.com/game/13845/-	Q7889
3920	Induction	2017 PC video game	https://opencritic.com/game/3920/-	Q7889
12070	INDUSTRIA	2021 PC video game	https://opencritic.com/game/12070/-	Q7889
14254	Industries of Titan	2023 PC video game	https://opencritic.com/game/14254/-	Q7889
3549	Industry Manager: Future Technologies	2016 PC video game	https://opencritic.com/game/3549/-	Q7889
5203	Indygo	2017 PC video game	https://opencritic.com/game/5203/-	Q7889
10133	Inertial Drift	2020 PS4, XB1, PC, Switch, XBXS, PS5 video game	https://opencritic.com/game/10133/-	Q7889
15694	Inescapable: No Rules, No Rescue	2023 PC, Switch, PS5, PS4, XBXS, XB1 video game	https://opencritic.com/game/15694/-	Q7889
222	inFamous: First Light	2014 PS4, PS5 video game	https://opencritic.com/game/222/-	Q7889
278	inFamous: Second Son	2014 PS4, PS5 video game	https://opencritic.com/game/278/-	Q7889
8637	Infected Shelter	2019 PC video game	https://opencritic.com/game/8637/-	Q7889
5477	Infernal Racket	2017 PC video game	https://opencritic.com/game/5477/-	Q7889
10774	Infernal Radiation	2020 PC video game	https://opencritic.com/game/10774/-	Q7889
12755	Infernax	2022 XBXS, PS5, XB1, PS4, Switch, PC video game	https://opencritic.com/game/12755/-	Q7889
5833	INFERNIUM	2018 PS4, PC, Switch, PS5 video game	https://opencritic.com/game/5833/-	Q7889
8305	Inferno 2	2015 PC, Switch video game	https://opencritic.com/game/8305/-	Q7889
7769	Inferno Climber: Reborn	2019 PS4, PC, Switch, PS5 video game	https://opencritic.com/game/7769/-	Q7889
1208	Infested Planet	2014 PC video game	https://opencritic.com/game/1208/-	Q7889
14737	Infestor	2021 Switch, PS5, PS4, XB1, XBXS video game	https://opencritic.com/game/14737/-	Q7889
9652	Infini	2020 PC, Switch video game	https://opencritic.com/game/9652/-	Q7889
1644	Infinifactory	2015 PS4, PC, PS5 video game	https://opencritic.com/game/1644/-	Q7889
11285	Infinite Adventures	2018 PS4, XB1, PC, Switch video game	https://opencritic.com/game/11285/-	Q7889
