id	q	name	desc	url	type	P21
p462	Q11188812	Abhar	video game developer/producer	https://vndb.org/p462	Q210167	
p6523		Abhar Tronc	video game developer/producer	https://vndb.org/p6523	Q210167	
p21619		Acacia	video game developer/producer	https://vndb.org/p21619	Q210167	
p249		Acacia Soft	video game developer/producer	https://vndb.org/p249	Q210167	
p2046		Accent	video game developer/producer	https://vndb.org/p2046	Q210167	
p5806		Accept	video game developer/producer	https://vndb.org/p5806	Q210167	
p11240	Q61630095	Accidental Queens	video game developer/producer	https://vndb.org/p11240	Q210167	
p6445		Accute	video game developer/producer	https://vndb.org/p6445	Q210167	
p2064		Acme X	video game developer/producer	https://vndb.org/p2064	Q210167	
p7191		Acme.R	video game developer/producer	https://vndb.org/p7191	Q210167	
p22443		ACPP	video game developer/producer	https://vndb.org/p22443	Q210167	
p20482		Act Zero	video game developer/producer	https://vndb.org/p20482	Q210167	
p29721		Active Channel Inc.	video game developer/producer	https://vndb.org/p29721	Q210167	
p15817		acttil llc	video game developer/producer	https://vndb.org/p15817	Q210167	
p2936		acute	video game developer/producer	https://vndb.org/p2936	Q210167	
p11764		Additon9² / GARDEN	video game developer/producer	https://vndb.org/p11764	Q210167	
p3107		Adel	video game developer/producer	https://vndb.org/p3107	Q210167	
p4132		ADNiS	video game developer/producer	https://vndb.org/p4132	Q210167	
p8344		Aether Interactive	video game developer/producer	https://vndb.org/p8344	Q210167	
p30070		AGA	video game developer/producer	https://vndb.org/p30070	Q210167	
p6019		Agate	video game developer/producer	https://vndb.org/p6019	Q210167	
p1403		AHAAN	video game developer/producer	https://vndb.org/p1403	Q210167	
p922		aias	video game developer/producer	https://vndb.org/p922	Q210167	
p2426	Q548166	AICスピリッツ	video game developer/producer	https://vndb.org/p2426	Q210167	
p12859		Aim at Entertainment	video game developer/producer	https://vndb.org/p12859	Q210167	
p11943		Aino+Links	video game developer/producer	https://vndb.org/p11943	Q210167	
p2346		ainos	video game developer/producer	https://vndb.org/p2346	Q210167	
p5117		AIRRIP	video game developer/producer	https://vndb.org/p5117	Q210167	
p27797		AirVelocity	video game developer/producer	https://vndb.org/p27797	Q210167	
p16105		AK Communications	video game developer/producer	https://vndb.org/p16105	Q210167	
p16104		AK_Indigo	video game developer/producer	https://vndb.org/p16104	Q210167	
p26834		akaeroCore	video game developer/producer	https://vndb.org/p26834	Q210167	
p639	Q2654839	Aksys Games	video game developer/producer	https://vndb.org/p639	Q210167	
p28045	Q55639133	Akupara Games, LLC	video game developer/producer	https://vndb.org/p28045	Q210167	
p129	Q3601009	ALcot	video game developer/producer	https://vndb.org/p129	Q210167	
p1385		ALcot ハニカム	video game developer/producer	https://vndb.org/p1385	Q210167	
p21025		Aldora Games S.L.	video game developer/producer	https://vndb.org/p21025	Q210167	
p580	Q11190142	Alice Blue	video game developer/producer	https://vndb.org/p580	Q210167	
p17551		Alice Games FZE	video game developer/producer	https://vndb.org/p17551	Q210167	
p1608		Alice Noir	video game developer/producer	https://vndb.org/p1608	Q210167	
p10899		All Blue Studio	video game developer/producer	https://vndb.org/p10899	Q210167	
p532		ALL-TiME	video game developer/producer	https://vndb.org/p532	Q210167	
p17664		Alliance Media Holdings	video game developer/producer	https://vndb.org/p17664	Q210167	
p9389		Allot	video game developer/producer	https://vndb.org/p9389	Q210167	
p1736		ALMA	video game developer/producer	https://vndb.org/p1736	Q210167	
p10588		Almaz	video game developer/producer	https://vndb.org/p10588	Q210167	
p5461		Alo-pierce	video game developer/producer	https://vndb.org/p5461	Q210167	
p19764		Alperen Torun	video game developer/producer	https://vndb.org/p19764	Q210167	
p2072		Alster	video game developer/producer	https://vndb.org/p2072	Q210167	
p13332		ALTERGEAR	video game developer/producer	https://vndb.org/p13332	Q210167	
p2308		ALTERNA	video game developer/producer	https://vndb.org/p2308	Q210167	
p30336		alvish	video game developer/producer	https://vndb.org/p30336	Q210167	
p27295		AMATA Games	video game developer/producer	https://vndb.org/p27295	Q210167	
p1000		Amber	video game developer/producer	https://vndb.org/p1000	Q210167	
p157		AMEDEO	video game developer/producer	https://vndb.org/p157	Q210167	
p923		Amolphas	video game developer/producer	https://vndb.org/p923	Q210167	
p26188		Amorje Productions Ltd.	video game developer/producer	https://vndb.org/p26188	Q210167	
p8994	Q18416053	Amplitude Studios	video game developer/producer	https://vndb.org/p8994	Q210167	
p20336	Q55992709	Amrun Verlag	video game developer/producer	https://vndb.org/p20336	Q210167	
p22808		AmuLit	video game developer/producer	https://vndb.org/p22808	Q210167	
p136	Q11315314	AMUSE CRAFT	video game developer/producer	https://vndb.org/p136	Q210167	
p1035		An*tique	video game developer/producer	https://vndb.org/p1035	Q210167	
p2100		Ands	video game developer/producer	https://vndb.org/p2100	Q210167	
p957		Angel Soft	video game developer/producer	https://vndb.org/p957	Q210167	
p3224		AngelHearts	video game developer/producer	https://vndb.org/p3224	Q210167	
p53	Q11190270	AngelSmile	video game developer/producer	https://vndb.org/p53	Q210167	
p5237		ANIM Mother & Wife	video game developer/producer	https://vndb.org/p5237	Q210167	
p535		Anim-E	video game developer/producer	https://vndb.org/p535	Q210167	
p3489		ANIM.teamMM	video game developer/producer	https://vndb.org/p3489	Q210167	
p1412		Anime Lilith	video game developer/producer	https://vndb.org/p1412	Q210167	
p1633	Q2478133	Anime Works	video game developer/producer	https://vndb.org/p1633	Q210167	
p1513		Anime-seal	video game developer/producer	https://vndb.org/p1513	Q210167	
p6850		Animen	video game developer/producer	https://vndb.org/p6850	Q210167	
p10203		ANIMovie	video game developer/producer	https://vndb.org/p10203	Q210167	
p6165		anipani株式会社	video game developer/producer	https://vndb.org/p6165	Q210167	
p15916	Q4765251	Aniplex of America Inc.	video game developer/producer	https://vndb.org/p15916	Q210167	
p10032		ANIPLEX.EXE	video game developer/producer	https://vndb.org/p10032	Q210167	
p223		Anise	video game developer/producer	https://vndb.org/p223	Q210167	
p260		AniSeed	video game developer/producer	https://vndb.org/p260	Q210167	
p1333		anisetta	video game developer/producer	https://vndb.org/p1333	Q210167	
p26115		AniTone	video game developer/producer	https://vndb.org/p26115	Q210167	
p14743		Anjin	video game developer/producer	https://vndb.org/p14743	Q210167	
p19979		ANJIN	video game developer/producer	https://vndb.org/p19979	Q210167	
p11374	Q38805988	Annapurna Interactive	video game developer/producer	https://vndb.org/p11374	Q210167	
p1446		Another	video game developer/producer	https://vndb.org/p1446	Q210167	
p29933		AnotherIndie	video game developer/producer	https://vndb.org/p29933	Q210167	
p2737		AnotherRoom	video game developer/producer	https://vndb.org/p2737	Q210167	
p26020		aNTIQ	video game developer/producer	https://vndb.org/p26020	Q210167	
p1136		anxious	video game developer/producer	https://vndb.org/p1136	Q210167	
p12669		Aozora	video game developer/producer	https://vndb.org/p12669	Q210167	
p1030		Ape & Frog	video game developer/producer	https://vndb.org/p1030	Q210167	
p6512		APLUS Co., Ltd.	video game developer/producer	https://vndb.org/p6512	Q210167	
p14099		App-eshop	video game developer/producer	https://vndb.org/p14099	Q210167	
p20939		APPLICOT DX	video game developer/producer	https://vndb.org/p20939	Q210167	
p7336		AppSir, Inc.	video game developer/producer	https://vndb.org/p7336	Q210167	
p548	Q11190359	ApRicoT	video game developer/producer	https://vndb.org/p548	Q210167	
p1954		Apricot Cherry	video game developer/producer	https://vndb.org/p1954	Q210167	
p28590		Apricot Heart	video game developer/producer	https://vndb.org/p28590	Q210167	
p1982		Apricot Plum	video game developer/producer	https://vndb.org/p1982	Q210167	
p6294		April Arts	video game developer/producer	https://vndb.org/p6294	Q210167	
p12243	Q107980182	aPriori Digital Ltd	video game developer/producer	https://vndb.org/p12243	Q210167	
p1277	Q11282839	AQUAHOUSE	video game developer/producer	https://vndb.org/p1277	Q210167	
p5905		Aqualuft Games	video game developer/producer	https://vndb.org/p5905	Q210167	
p87	Q1036845	AQUAPLUS	video game developer/producer	https://vndb.org/p87	Q210167	
p20054		Archive	video game developer/producer	https://vndb.org/p20054	Q210167	
p9250		ArchiveFactory	video game developer/producer	https://vndb.org/p9250	Q210167	
p5880		Argent Games LLC	video game developer/producer	https://vndb.org/p5880	Q210167	
p7573		Argonauts	video game developer/producer	https://vndb.org/p7573	Q210167	
p163	Q11189559	ARIA	video game developer/producer	https://vndb.org/p163	Q210167	
p5133		Aries Games	video game developer/producer	https://vndb.org/p5133	Q210167	
p1523		Ark	video game developer/producer	https://vndb.org/p1523	Q210167	
p213		Ark Shell	video game developer/producer	https://vndb.org/p213	Q210167	
p787		Arkham Products	video game developer/producer	https://vndb.org/p787	Q210167	
p1058		Armadillo	video game developer/producer	https://vndb.org/p1058	Q210167	
p929		Armonica	video game developer/producer	https://vndb.org/p929	Q210167	
p1456	Q940867	Armor Project	video game developer/producer	https://vndb.org/p1456	Q210167	
p8572		Arrowiz	video game developer/producer	https://vndb.org/p8572	Q210167	
p205		Art	video game developer/producer	https://vndb.org/p205	Q210167	
p8902		ARTE France	video game developer/producer	https://vndb.org/p8902	Q210167	
p2013		Artel	video game developer/producer	https://vndb.org/p2013	Q210167	
p2014		Artel Team Prefab	video game developer/producer	https://vndb.org/p2014	Q210167	
p506		Artifact	video game developer/producer	https://vndb.org/p506	Q210167	
p11680		Artsiness	video game developer/producer	https://vndb.org/p11680	Q210167	
p15383		aru*no	video game developer/producer	https://vndb.org/p15383	Q210167	
p371	Q11189680	ASa Project	video game developer/producer	https://vndb.org/p371	Q210167	
p23471		Asada Products	video game developer/producer	https://vndb.org/p23471	Q210167	
p3204	Q4654270	ASK Co. Ltd	video game developer/producer	https://vndb.org/p3204	Q210167	
p1462	Q798642	Asmik Ace	video game developer/producer	https://vndb.org/p1462	Q210167	
p231		Asobell	video game developer/producer	https://vndb.org/p231	Q210167	
p14615	Q45060290	Assemble Entertainment	video game developer/producer	https://vndb.org/p14615	Q210167	
p887		AST	video game developer/producer	https://vndb.org/p887	Q210167	
p30255		ASTRA	video game developer/producer	https://vndb.org/p30255	Q210167	
p20955		Astralis	video game developer/producer	https://vndb.org/p20955	Q210167	
p6566		Astray	video game developer/producer	https://vndb.org/p6566	Q210167	
p16916		Astrolabe Games	video game developer/producer	https://vndb.org/p16916	Q210167	
p2692		Astronauts	video game developer/producer	https://vndb.org/p2692	Q210167	
p2693		Astronauts: Sirius	video game developer/producer	https://vndb.org/p2693	Q210167	
p935		Atelier Double	video game developer/producer	https://vndb.org/p935	Q210167	
p2738		ATELIER G/H	video game developer/producer	https://vndb.org/p2738	Q210167	
p985		Atelier Kaguya DREIZEHN	video game developer/producer	https://vndb.org/p985	Q210167	
p26778		AtelierBlueCitrus	video game developer/producer	https://vndb.org/p26778	Q210167	
p2178		Athena	video game developer/producer	https://vndb.org/p2178	Q210167	
p1041		Ather	video game developer/producer	https://vndb.org/p1041	Q210167	
p203	Q780528	ATLUS	video game developer/producer	https://vndb.org/p203	Q210167	
p10773		Audilove	video game developer/producer	https://vndb.org/p10773	Q210167	
p16836		aura Gold-Label	video game developer/producer	https://vndb.org/p16836	Q210167	
p16835		aura Red-Label	video game developer/producer	https://vndb.org/p16835	Q210167	
p11880		AUREA FUNSoft	video game developer/producer	https://vndb.org/p11880	Q210167	
p1442		Aurora Games	video game developer/producer	https://vndb.org/p1442	Q210167	
p3350		Avanquest Software	video game developer/producer	https://vndb.org/p3350	Q210167	
p693		Axis	video game developer/producer	https://vndb.org/p693	Q210167	
p214	Q6142858	AXL	video game developer/producer	https://vndb.org/p214	Q210167	
p7755		AYE Technology	video game developer/producer	https://vndb.org/p7755	Q210167	
p54		Azurite	video game developer/producer	https://vndb.org/p54	Q210167	
p6226		Azurite	video game developer/producer	https://vndb.org/p6226	Q210167	
p5468		B Team	video game developer/producer	https://vndb.org/p5468	Q210167	
p845		B Works	video game developer/producer	https://vndb.org/p845	Q210167	
p12857		B-Factory	video game developer/producer	https://vndb.org/p12857	Q210167	
p4978		B-luster	video game developer/producer	https://vndb.org/p4978	Q210167	
p599		B-wings	video game developer/producer	https://vndb.org/p599	Q210167	
p10251		B.M.P	video game developer/producer	https://vndb.org/p10251	Q210167	
p6815		BA-KU	video game developer/producer	https://vndb.org/p6815	Q210167	
p8810		BADA Games	video game developer/producer	https://vndb.org/p8810	Q210167	
p1703		Bags	video game developer/producer	https://vndb.org/p1703	Q210167	
p538		Banana Shu-Shu	video game developer/producer	https://vndb.org/p538	Q210167	
p8084		Banana Spilt	video game developer/producer	https://vndb.org/p8084	Q210167	
p24033		Bandai Visual	video game developer/producer	https://vndb.org/p24033	Q210167	
p1128		BARON	video game developer/producer	https://vndb.org/p1128	Q210167	
p4817		BaseSon Light	video game developer/producer	https://vndb.org/p4817	Q210167	
p500		BasiL	video game developer/producer	https://vndb.org/p500	Q210167	
p4994	Q554198	Bauer Media Group	video game developer/producer	https://vndb.org/p4994	Q210167	
p4096		Bavi Soft	video game developer/producer	https://vndb.org/p4096	Q210167	
p3813		BD de ゲーム	video game developer/producer	https://vndb.org/p3813	Q210167	
p21764		BD Games	video game developer/producer	https://vndb.org/p21764	Q210167	
p3217		BD-Game	video game developer/producer	https://vndb.org/p3217	Q210167	
p6852		BEelight	video game developer/producer	https://vndb.org/p6852	Q210167	
p4161		Beemoov	video game developer/producer	https://vndb.org/p4161	Q210167	
p24474		BEEP	video game developer/producer	https://vndb.org/p24474	Q210167	
p23176		Beep Japan Inc	video game developer/producer	https://vndb.org/p23176	Q210167	
p719		BeF	video game developer/producer	https://vndb.org/p719	Q210167	
p14665	Q2080076	Behaviour Interactive Inc.	video game developer/producer	https://vndb.org/p14665	Q210167	
p796		BELL-DA	video game developer/producer	https://vndb.org/p796	Q210167	
p10326		Bellhouse	video game developer/producer	https://vndb.org/p10326	Q210167	
p5962		BELLOTA	video game developer/producer	https://vndb.org/p5962	Q210167	
p233		Berkana	video game developer/producer	https://vndb.org/p233	Q210167	
p21529		Best Laid Plans Productions, Inc.	video game developer/producer	https://vndb.org/p21529	Q210167	
p13388	Q684425	Bethesda Softworks	video game developer/producer	https://vndb.org/p13388	Q210167	
p2830		Beyond Interactive	video game developer/producer	https://vndb.org/p2830	Q210167	
p18253		Beyond The Ataraxia	video game developer/producer	https://vndb.org/p18253	Q210167	
p21082	Q109064497	Big Way Games	video game developer/producer	https://vndb.org/p21082	Q210167	
p10302	Q4835667	BIGLOBE	video game developer/producer	https://vndb.org/p10302	Q210167	
p7862		BINBIN1919	video game developer/producer	https://vndb.org/p7862	Q210167	
p6714		Bind	video game developer/producer	https://vndb.org/p6714	Q210167	
p7214		Bipolar	video game developer/producer	https://vndb.org/p7214	Q210167	
p6244		BirchTreeGames	video game developer/producer	https://vndb.org/p6244	Q210167	
p11767		BISCO	video game developer/producer	https://vndb.org/p11767	Q210167	
p1096		Biscotti	video game developer/producer	https://vndb.org/p1096	Q210167	
p215	Q11191283	BISHOP	video game developer/producer	https://vndb.org/p215	Q210167	
p3555		BISHOP Royal	video game developer/producer	https://vndb.org/p3555	Q210167	
p747		Bit	video game developer/producer	https://vndb.org/p747	Q210167	
p7915		Bit Golem Games	video game developer/producer	https://vndb.org/p7915	Q210167	
p23069		Bit Quirky, LLC	video game developer/producer	https://vndb.org/p23069	Q210167	
p15422	Q57362423	Bithell Games	video game developer/producer	https://vndb.org/p15422	Q210167	
p418		Bits Laboratory	video game developer/producer	https://vndb.org/p418	Q210167	
p4137		Bitter half	video game developer/producer	https://vndb.org/p4137	Q210167	
p2679		bitterdrop	video game developer/producer	https://vndb.org/p2679	Q210167	
p10539		BLACK CROWN	video game developer/producer	https://vndb.org/p10539	Q210167	
p365		Black Cyc	video game developer/producer	https://vndb.org/p365	Q210167	
p1517		Black Globe	video game developer/producer	https://vndb.org/p1517	Q210167	
p26618		Black Heart Games LLC	video game developer/producer	https://vndb.org/p26618	Q210167	
p28095		Black Lantern Collective	video game developer/producer	https://vndb.org/p28095	Q210167	
p1357		Black Light	video game developer/producer	https://vndb.org/p1357	Q210167	
p1413	Q11348564	Black Lilith	video game developer/producer	https://vndb.org/p1413	Q210167	
p9337		Black Muffin Studio	video game developer/producer	https://vndb.org/p9337	Q210167	
p1953		Black Package Try	video game developer/producer	https://vndb.org/p1953	Q210167	
p4327		BLACK PACKAGE XXX	video game developer/producer	https://vndb.org/p4327	Q210167	
p8362		Black Poodle Entertainment	video game developer/producer	https://vndb.org/p8362	Q210167	
p2932		Black Rabbit	video game developer/producer	https://vndb.org/p2932	Q210167	
p5431		Black Sands Entertainment	video game developer/producer	https://vndb.org/p5431	Q210167	
p3089	Q11192442	BlackButterfly	video game developer/producer	https://vndb.org/p3089	Q210167	
p175		BLACKRAINBOW	video game developer/producer	https://vndb.org/p175	Q210167	
p1650		BLACKRAINBOW DVDPG Division	video game developer/producer	https://vndb.org/p1650	Q210167	
p2763		Blame	video game developer/producer	https://vndb.org/p2763	Q210167	
p283		Blip	video game developer/producer	https://vndb.org/p283	Q210167	
p16106		blissful beryl	video game developer/producer	https://vndb.org/p16106	Q210167	
p7650		Blissful Work's	video game developer/producer	https://vndb.org/p7650	Q210167	
p17306	Q178824	Blizzard Entertainment	video game developer/producer	https://vndb.org/p17306	Q210167	
p6673	Q91125606	Bloom Digital Media Inc.	video game developer/producer	https://vndb.org/p6673	Q210167	
p21343		Bloomz, Inc.	video game developer/producer	https://vndb.org/p21343	Q210167	
p4958		BLT	video game developer/producer	https://vndb.org/p4958	Q210167	
p1116		Blue Crescent Moon	video game developer/producer	https://vndb.org/p1116	Q210167	
p182		Blue Gale	video game developer/producer	https://vndb.org/p182	Q210167	
p1947		Blue Heaven	video game developer/producer	https://vndb.org/p1947	Q210167	
p614		Blue Impact	video game developer/producer	https://vndb.org/p614	Q210167	
p13255		Blue Lupinus	video game developer/producer	https://vndb.org/p13255	Q210167	
p6362		Blue Salvia	video game developer/producer	https://vndb.org/p6362	Q210167	
p17142		Blue Wing	video game developer/producer	https://vndb.org/p17142	Q210167	
p2073		BlueJelly	video game developer/producer	https://vndb.org/p2073	Q210167	
p2857		BlueMoon	video game developer/producer	https://vndb.org/p2857	Q210167	
p23560		Bluepoch	video game developer/producer	https://vndb.org/p23560	Q210167	
p12677		Bluesom	video game developer/producer	https://vndb.org/p12677	Q210167	
p624		BlueTopaz	video game developer/producer	https://vndb.org/p624	Q210167	
p25804		BokiBoki Games	video game developer/producer	https://vndb.org/p25804	Q210167	
p2669		Bolero	video game developer/producer	https://vndb.org/p2669	Q210167	
p2645		BOM	video game developer/producer	https://vndb.org/p2645	Q210167	
p265	Q11192573	Bonbee!	video game developer/producer	https://vndb.org/p265	Q210167	
p7225		Bonk! GAME STUDIO	video game developer/producer	https://vndb.org/p7225	Q210167	
p20721		BOOOM	video game developer/producer	https://vndb.org/p20721	Q210167	
p1977		BOOST ON	video game developer/producer	https://vndb.org/p1977	Q210167	
p2841		BOOST5	video game developer/producer	https://vndb.org/p2841	Q210167	
p173		bootUP!	video game developer/producer	https://vndb.org/p173	Q210167	
p26102		Boxuchan	video game developer/producer	https://vndb.org/p26102	Q210167	
p5285		BP-5800	video game developer/producer	https://vndb.org/p5285	Q210167	
p8592		Brain&Brain LLC	video game developer/producer	https://vndb.org/p8592	Q210167	
p20784		BRDSH-Fafa	video game developer/producer	https://vndb.org/p20784	Q210167	
p151		Breeze!!	video game developer/producer	https://vndb.org/p151	Q210167	
p8456		BREST UP	video game developer/producer	https://vndb.org/p8456	Q210167	
p7265		Broken Hammer Games, LLC	video game developer/producer	https://vndb.org/p7265	Q210167	
p6257		Bromoco Games	video game developer/producer	https://vndb.org/p6257	Q210167	
p11538		BrutalHack	video game developer/producer	https://vndb.org/p11538	Q210167	
p29225		Bubble	video game developer/producer	https://vndb.org/p29225	Q210167	
p11965		Buff Studio	video game developer/producer	https://vndb.org/p11965	Q210167	
p14248		BUIBUI	video game developer/producer	https://vndb.org/p14248	Q210167	
p217		BUNBUN	video game developer/producer	https://vndb.org/p217	Q210167	
p1420		bunny hole studio	video game developer/producer	https://vndb.org/p1420	Q210167	
p1993		burston	video game developer/producer	https://vndb.org/p1993	Q210167	
p8765		Bメイト★	video game developer/producer	https://vndb.org/p8765	Q210167	
p6663		C-Class	video game developer/producer	https://vndb.org/p6663	Q210167	
p12661		C-Garden NEXT-B	video game developer/producer	https://vndb.org/p12661	Q210167	
p167		C-Side	video game developer/producer	https://vndb.org/p167	Q210167	
p4306		C-Territory	video game developer/producer	https://vndb.org/p4306	Q210167	
p3232		C.C CLOCKUP	video game developer/producer	https://vndb.org/p3232	Q210167	
p239		C:drive.	video game developer/producer	https://vndb.org/p239	Q210167	
p1958		C:drive/F	video game developer/producer	https://vndb.org/p1958	Q210167	
p2055		Cabbit	video game developer/producer	https://vndb.org/p2055	Q210167	
p7415		Cabo Arts Studio	video game developer/producer	https://vndb.org/p7415	Q210167	
p824		Cadath	video game developer/producer	https://vndb.org/p824	Q210167	
p876		Cain	video game developer/producer	https://vndb.org/p876	Q210167	
p219		Caitsith	video game developer/producer	https://vndb.org/p219	Q210167	
p9455		Calcite	video game developer/producer	https://vndb.org/p9455	Q210167	
p169		Caligula Soft	video game developer/producer	https://vndb.org/p169	Q210167	
p5946		calme	video game developer/producer	https://vndb.org/p5946	Q210167	
p5457		Campus	video game developer/producer	https://vndb.org/p5457	Q210167	
p24597		Candlelight Games Inc.	video game developer/producer	https://vndb.org/p24597	Q210167	
p11846		CANDY VIOLET	video game developer/producer	https://vndb.org/p11846	Q210167	
p166		Carmine	video game developer/producer	https://vndb.org/p166	Q210167	
p5459		Carol Works	video game developer/producer	https://vndb.org/p5459	Q210167	
p20070		CARPE Corp.	video game developer/producer	https://vndb.org/p20070	Q210167	
p8539	Q17006583	Carpe Fulgur	video game developer/producer	https://vndb.org/p8539	Q210167	
p6544		Casket	video game developer/producer	https://vndb.org/p6544	Q210167	
p28472		Caspianborn Publishing	video game developer/producer	https://vndb.org/p28472	Q210167	
p1384		Cassiopeia	video game developer/producer	https://vndb.org/p1384	Q210167	
p1770		Cat's Pro.	video game developer/producer	https://vndb.org/p1770	Q210167	
p6166		Catarite	video game developer/producer	https://vndb.org/p6166	Q210167	
p9118		CatCap Studio	video game developer/producer	https://vndb.org/p9118	Q210167	
p22441		CatDoors	video game developer/producer	https://vndb.org/p22441	Q210167	
p201	Q11194380	Catear	video game developer/producer	https://vndb.org/p201	Q210167	
p185		CATTLEYA	video game developer/producer	https://vndb.org/p185	Q210167	
p220		catwalk	video game developer/producer	https://vndb.org/p220	Q210167	
p7916		CBS Sony Group	video game developer/producer	https://vndb.org/p7916	Q210167	
p8820		CCYY	video game developer/producer	https://vndb.org/p8820	Q210167	
p871		CDPA	video game developer/producer	https://vndb.org/p871	Q210167	
p10249		Celestial Project	video game developer/producer	https://vndb.org/p10249	Q210167	
p9366		CelleC Games	video game developer/producer	https://vndb.org/p9366	Q210167	
p947		CERES	video game developer/producer	https://vndb.org/p947	Q210167	
p7657		CFK Co., Ltd.	video game developer/producer	https://vndb.org/p7657	Q210167	
p27257		Chaff	video game developer/producer	https://vndb.org/p27257	Q210167	
p22638		Champloo Games	video game developer/producer	https://vndb.org/p22638	Q210167	
p10593		Chance Agency LLC	video game developer/producer	https://vndb.org/p10593	Q210167	
p9654		Chaos Cute Soft LLC	video game developer/producer	https://vndb.org/p9654	Q210167	
p29684		Chaos Network Technology Co., Ltd.	video game developer/producer	https://vndb.org/p29684	Q210167	
p10389		CHAOS-L	video game developer/producer	https://vndb.org/p10389	Q210167	
p7501		CHAOS-R	video game developer/producer	https://vndb.org/p7501	Q210167	
p16187		CHAOS-R EXTREME	video game developer/producer	https://vndb.org/p16187	Q210167	
p12366		CHAOS-R RE:Master	video game developer/producer	https://vndb.org/p12366	Q210167	
p1968		Chariot	video game developer/producer	https://vndb.org/p1968	Q210167	
p601		Chat Errant	video game developer/producer	https://vndb.org/p601	Q210167	
p9419		Chatte Noire	video game developer/producer	https://vndb.org/p9419	Q210167	
p2578		Check-Point	video game developer/producer	https://vndb.org/p2578	Q210167	
p10455		Cheese Games	video game developer/producer	https://vndb.org/p10455	Q210167	
p6070		Cherokee Language Lessons	video game developer/producer	https://vndb.org/p6070	Q210167	
p7324	Q133875875	Cherry Kiss Games	video game developer/producer	https://vndb.org/p7324	Q210167	
p12319		Chibig	video game developer/producer	https://vndb.org/p12319	Q210167	
p218		Chien	video game developer/producer	https://vndb.org/p218	Q210167	
p2281		Child Dream	video game developer/producer	https://vndb.org/p2281	Q210167	
p2716		CHOCO	video game developer/producer	https://vndb.org/p2716	Q210167	
p1678		chococo	video game developer/producer	https://vndb.org/p1678	Q210167	
p30169		CHOIR	video game developer/producer	https://vndb.org/p30169	Q210167	
p1252		chorus	video game developer/producer	https://vndb.org/p1252	Q210167	
p12697	Q47498862	Chorus Worldwide	video game developer/producer	https://vndb.org/p12697	Q210167	
p6183		Ciagram株式会社	video game developer/producer	https://vndb.org/p6183	Q210167	
p3496		Cico	video game developer/producer	https://vndb.org/p3496	Q210167	
p374		Ciel	video game developer/producer	https://vndb.org/p374	Q210167	
p16938	Q1092474	Cinemaware	video game developer/producer	https://vndb.org/p16938	Q210167	
p22985		Cinnabun Collective	video game developer/producer	https://vndb.org/p22985	Q210167	
p7742		Cinétévé Experience	video game developer/producer	https://vndb.org/p7742	Q210167	
p23222		CIRCLE LINE GAMES	video game developer/producer	https://vndb.org/p23222	Q210167	
p65	Q1045622	CIRCUS	video game developer/producer	https://vndb.org/p65	Q210167	
