id	name	desc	url	type	P400
45162	那由多の軌跡 アド・アストラ	2022 Switch video game	https://www.famitsu.com/games/t/45162/	Q7889	Q19610114
45163	英雄伝説 黎の軌跡II -CRIMSON SiN-	2022 PS4 video game	https://www.famitsu.com/games/t/45163/	Q7889	Q5014725
45164	英雄伝説 黎の軌跡II -CRIMSON SiN-	2022 PS5 video game	https://www.famitsu.com/games/t/45164/	Q7889	Q63184502
45165	WRC10 FIA世界ラリー選手権	2022 Switch video game	https://www.famitsu.com/games/t/45165/	Q7889	Q19610114
45166	夜廻三	2022 PS4 video game	https://www.famitsu.com/games/t/45166/	Q7889	Q5014725
45167	夜廻三	2022 Switch video game	https://www.famitsu.com/games/t/45167/	Q7889	Q19610114
45168	ウイニングポスト9 2022	2022 Switch video game	https://www.famitsu.com/games/t/45168/	Q7889	Q19610114
45169	ウイニングポスト9 2022	2022 PS4 video game	https://www.famitsu.com/games/t/45169/	Q7889	Q5014725
45172	ビビッドナイト	2021 Switch video game	https://www.famitsu.com/games/t/45172/	Q7889	Q19610114
45181	ツクールシリーズ　OUMUAMUA	2021 Switch video game	https://www.famitsu.com/games/t/45181/	Q7889	Q19610114
45182	ツクールシリーズ CHAM THE CAT ADVENTURE	2021 Switch video game	https://www.famitsu.com/games/t/45182/	Q7889	Q19610114
45183	ツクールシリーズ JEWELiNX	2021 Switch video game	https://www.famitsu.com/games/t/45183/	Q7889	Q19610114
45184	ツクールシリーズ　Biggerman.io	2021 Switch video game	https://www.famitsu.com/games/t/45184/	Q7889	Q19610114
45191	ピクロスS7	2021 Switch video game	https://www.famitsu.com/games/t/45191/	Q7889	Q19610114
45192	トロピコ 6	2022 PS5 video game	https://www.famitsu.com/games/t/45192/	Q7889	Q63184502
45211	OVERLORD -ESCAPE FROM NAZARICK-	2022 PC video game	https://www.famitsu.com/games/t/45211/	Q7889	Q1406
45216	螢幕判官 Behind The Screen＆落雨落葉 Defoliation	2022 Switch video game	https://www.famitsu.com/games/t/45216/	Q7889	Q19610114
45218	遊んで将棋が強くなる！銀星将棋DX2	2022 Switch video game	https://www.famitsu.com/games/t/45218/	Q7889	Q19610114
45222	カンパニーマン 社畜の下剋上	2022 Switch video game	https://www.famitsu.com/games/t/45222/	Q7889	Q19610114
45225	MX vs ATV Legends	2022 PS5 video game	https://www.famitsu.com/games/t/45225/	Q7889	Q63184502
45226	MX vs ATV Legends	2022 PS4 video game	https://www.famitsu.com/games/t/45226/	Q7889	Q5014725
45227	MX vs ATV Legends	2022 XSX video game	https://www.famitsu.com/games/t/45227/	Q7889	Q98973368
45228	MX vs ATV Legends	2022 XOne video game	https://www.famitsu.com/games/t/45228/	Q7889	Q13361286
45229	MX vs ATV Legends	2022 PC video game	https://www.famitsu.com/games/t/45229/	Q7889	Q1406
45230	Sniper Elite 5	2022 PS5 video game	https://www.famitsu.com/games/t/45230/	Q7889	Q63184502
45231	Sniper Elite 5	2022 PS4 video game	https://www.famitsu.com/games/t/45231/	Q7889	Q5014725
45232	ボンバーガール コナステ	2021 PC video game	https://www.famitsu.com/games/t/45232/	Q7889	Q1406
45247	推しのラブより恋のラブ＋ラブ・オア・ダイ	2022 Switch video game	https://www.famitsu.com/games/t/45247/	Q7889	Q19610114
45251	OMORI	2022 XSX video game	https://www.famitsu.com/games/t/45251/	Q7889	Q98973368
45252	――ッ違う!!!+	2022 PS4 video game	https://www.famitsu.com/games/t/45252/	Q7889	Q5014725
45262	魔法使いの夜	2022 Switch video game	https://www.famitsu.com/games/t/45262/	Q7889	Q19610114
45263	魔法使いの夜	2022 PS4 video game	https://www.famitsu.com/games/t/45263/	Q7889	Q5014725
45276	忘れないで、おとなになっても。	2022 PC video game	https://www.famitsu.com/games/t/45276/	Q7889	Q1406
45277	OVERLORD -ESCAPE FROM NAZARICK-	2022 Switch video game	https://www.famitsu.com/games/t/45277/	Q7889	Q19610114
45278	SIMPLEシリーズ for Nintendo Switch Vol.1 THE テーブルゲーム Deluxe Pack 〜麻雀・囲碁・将棋・詰将棋・オセロ・カード・花札・二角取り〜	2022 Switch video game	https://www.famitsu.com/games/t/45278/	Q7889	Q19610114
45283	限界凸旗 セブンパイレーツ H	2022 Switch video game	https://www.famitsu.com/games/t/45283/	Q7889	Q19610114
45284	ケムコRPGセレクション Vol.9	2022 PS4 video game	https://www.famitsu.com/games/t/45284/	Q7889	Q5014725
45285	天獄ストラグル -strayside-	2022 Switch video game	https://www.famitsu.com/games/t/45285/	Q7889	Q19610114
45292	Serious Sam: Siberian Mayhem	2022 PC video game	https://www.famitsu.com/games/t/45292/	Q7889	Q1406
45294	アサシン クリード エツィオ コレクション	2022 Switch video game	https://www.famitsu.com/games/t/45294/	Q7889	Q19610114
45295	昭和米国物語	PC video game	https://www.famitsu.com/games/t/45295/	Q7889	Q1406
45296	Overprime	PC video game	https://www.famitsu.com/games/t/45296/	Q7889	Q1406
45300	eBASEBALLパワフルプロ野球2022	2022 Switch video game	https://www.famitsu.com/games/t/45300/	Q7889	Q19610114
45301	eBASEBALLパワフルプロ野球2022	2022 PS4 video game	https://www.famitsu.com/games/t/45301/	Q7889	Q5014725
45302	Rise of the Third Power	2022 PS4 video game	https://www.famitsu.com/games/t/45302/	Q7889	Q5014725
45303	Rise of the Third Power	2022 Switch video game	https://www.famitsu.com/games/t/45303/	Q7889	Q19610114
45304	Rise of the Third Power	2022 XOne video game	https://www.famitsu.com/games/t/45304/	Q7889	Q13361286
45320	Mindcell	2022 Switch video game	https://www.famitsu.com/games/t/45320/	Q7889	Q19610114
45321	メンヘラフレシア -Flowering Abyss-	2022 Switch video game	https://www.famitsu.com/games/t/45321/	Q7889	Q19610114
45331	Ocean's Heart (オーシャンズハート)	2022 Switch video game	https://www.famitsu.com/games/t/45331/	Q7889	Q19610114
45337	食用系少女 2 美食内戦	2022 Switch video game	https://www.famitsu.com/games/t/45337/	Q7889	Q19610114
45339	僕のヒーローアカデミア ULTRA RUMBLE	PS4 video game	https://www.famitsu.com/games/t/45339/	Q7889	Q5014725
45340	僕のヒーローアカデミア ULTRA RUMBLE	Switch video game	https://www.famitsu.com/games/t/45340/	Q7889	Q19610114
45341	僕のヒーローアカデミア ULTRA RUMBLE	XOne video game	https://www.famitsu.com/games/t/45341/	Q7889	Q13361286
45342	僕のヒーローアカデミア ULTRA RUMBLE	PC video game	https://www.famitsu.com/games/t/45342/	Q7889	Q1406
45351	太鼓の達人 The Drum Master!	2022 XOne video game	https://www.famitsu.com/games/t/45351/	Q7889	Q13361286
45352	太鼓の達人 The Drum Master!	2022 XSX video game	https://www.famitsu.com/games/t/45352/	Q7889	Q98973368
45353	太鼓の達人 The Drum Master!	2022 PC video game	https://www.famitsu.com/games/t/45353/	Q7889	Q1406
45354	レインボーシックス エクストラクション ユナイテッドセット	2022 PS4 video game	https://www.famitsu.com/games/t/45354/	Q7889	Q5014725
